number,result
5,120
10,3628800
15,1307674368000
20,2432902008176640000
25,15511210043330985984000000
30,265252859812191058636308480000000
35,10333147966386144929666651337523200000000
40,815915283247897734345611269596115894272000000000
45,119622220865480194561963161495657715064383733760000000000
50,30414093201713378043612608166064768844377641568960512000000000000
55,12696403353658275925965100847566516959580321051449436762275840000000000000
60,8320987112741390144276341183223364380754172606361245952449277696409600000000000000
65,8247650592082470666723170306785496252186258551345437492922123134388955774976000000000000000
70,11978571669969891796072783721689098736458938142546425857555362864628009582789845319680000000000000000
75,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
80,71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
85,281710411438055027694947944226061159480056634330574206405101912752560026159795933451040286452340924018275123200000000000000000000
90,1485715964481761497309522733620825737885569961284688766942216863704985393094065876545992131370884059645617234469978112000000000000000000000
95,10329978488239059262599702099394727095397746340117372869212250571234293987594703124871765375385424468563282236864226607350415360000000000000000000000
99,933262154439441526816992388562667004907159682643816214685929638952175999932299156089414639761565182862536979208272237582511852109168640000000000000000000000